filter_model,filter_family,filter_parameter,n_tables,median_coef_s2_over_s1,mean_cv_r2_energy,mean_train_r2_energy
instant,delay,0.0,96,0.00919862140295248,-0.0019015110094423218,0.0038268092979925877
delay1,delay,1.0,96,0.0055432332553166045,-0.004286314411364947,0.005558764954763024
delay2,delay,2.0,96,0.005693593331081144,-0.007627859299152495,0.007639983512539751
delay3,delay,3.0,96,0.005145956741809206,-0.011928072289402514,0.010131976747650033
delay4,delay,4.0,96,0.005495130815669155,-0.01634578526942902,0.013548143826485863
delay6,delay,6.0,96,0.004469049168346159,-0.026406838673289097,0.022603579143648123
delay8,delay,8.0,96,0.00439516581631404,-0.03838052870849535,0.033852522610331386
box2,boxcar,2.0,96,0.006830883312484825,-0.002924345036320492,0.004913346945857133
box4,boxcar,4.0,96,0.004335250996940966,-0.005895900808897336,0.0072520962012097
box8,boxcar,8.0,96,0.003748670525740989,-0.01420792717902346,0.014024013520064424
ema0p25,ema,0.25,96,0.007278928732704668,-0.0024998113548999885,0.004559540205705876
ema0p50,ema,0.5,96,0.0048938470017689485,-0.004107341610447281,0.006059144345373256
ema0p75,ema,0.75,96,0.0037837062627291357,-0.011673123049363904,0.012470928015160102
ema0p90,ema,0.9,96,0.0029805000772141505,-0.046401918184620104,0.045506250360390264
