panel_id,module,title,role,primary_status,figure_asset_status,primary_source,backup_or_supplement_source,flags,notes
A1,A,Fixed screen image becomes moving retinal crop,main,concept_ready,atlas_asset_generated,declan/figure4_active_sensing_atlas/scripts/plot_panel_a_subpanels.py,declan/figure4_active_sensing_atlas/figures/panel_A/A1_retinal_movie_transform.png,F002,Lightweight premise schematic; no result dependency.
A2,A,Stabilized versus FEM movie,main,source_ready,atlas_asset_generated,outputs/active_sensing_movie_information/active_sensing_movie_information_figure_frozen_20260615_pre_backimage_collab_pack/retinal_movie_transform_qc_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_A/A2_movie_transform_qc.png,F002,QC shows FEM movies add temporal contrast/motion power while movie power stays matched.
A3,A,Translation samples local gradients,main,concept_ready,atlas_asset_generated,declan/figure4_active_sensing_atlas/working_results_draft.md,declan/figure4_active_sensing_atlas/figures/panel_A/A3_gradient_sampling_cartoon.png,F002,Cartoon only; sets up image-dependent axes.
A4,A,V1-twin retinal movie pipeline,main,source_ready,atlas_asset_generated,outputs/fig4_active_sensing/active_sensing_headline_figure/fig4_active_sensing_headline_stats.json,declan/figure4_active_sensing_atlas/figures/panel_A/A4_backimage_pipeline_bridge.png,F002,Canonical 756-unit BackImage/V1-twin provenance bridge.
A5,A,Covariance bridge to Sigma_FEM,supplement_or_bridge,source_ready,atlas_asset_generated,outputs/active_sensing_movie_information/reafferent_variance_accounting/variance_accounting_aggregate_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_A/A5_covariance_bridge_guardrail.png,F002,Use lightly; mixed-denominator covariance bridge/supplement only.
B1,B,Feature-decoding target and response summaries,main,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_aggregate_fem_information_n256_k48_rel025-2_drift_only_common_unclipped_patched/incremental_static_plus_motion_relids/incremental_decode_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_B/B1_task_schematic.png,F003,Generated schematic from cache-only Panel B script.
B2,B,Motion family examples and QC,main_or_supplement,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_aggregate_fem_information_n256_k48_rel025-2_drift_only_common_unclipped_patched/aggregate_motion_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_B/B2_motion_family_qc.png,F003;F004,RMS matching and path length generated from aggregate motion summary.
B3,B,Static-plus-motion gain over static,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_aggregate_fem_information_n256_k48_rel025-2_drift_only_common_unclipped_patched/incremental_static_plus_motion_relids/incremental_gain_vs_static.csv,declan/figure4_active_sensing_atlas/figures/panel_B/B3_empirical_gain_vs_static.png,F003,Core Module B result generated as atlas subpanel.
B4,B,Empirical minus controls,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_aggregate_fem_information_n256_k48_rel025-2_drift_only_common_unclipped_patched/incremental_static_plus_motion_relids/incremental_gain_contrasts.csv,declan/figure4_active_sensing_atlas/figures/panel_B/B4_empirical_minus_controls.png,F003;F004,Keep Brownian/rotated caveat visible.
B5,B,Absolute gain guardrail across motion controls,supplement_or_inset,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_aggregate_fem_information_n256_k48_rel025-2_drift_only_common_unclipped_patched/incremental_static_plus_motion_relids/incremental_gain_vs_static.csv,declan/figure4_active_sensing_atlas/figures/panel_B/B5_absolute_gain_guardrail.png,F003;F004,Shows generic Brownian motion can catch up at larger scales.
B6,B,Local exact image-trace pairing,supplement_or_sensitivity,provisional_two_readout,needs_final_pack,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_local_pairing_Iz_revisit_clean_fixedmanifest_sampledK32_gabor_pyramid_rel025_0p5_1_seed7_v1/,declan/canonical_active_sensing/provenance/current_outputs.md,F005,Use as delta_mean local mechanistic sensitivity in the two-readout candidate not as final lock.
C1,C,Known-eye zero-eye joint-eye observer cartoon,main,concept_ready,atlas_asset_generated,declan/backimage_trajectory_observer/results_log.md,declan/figure4_active_sensing_atlas/figures/panel_C/C1_observer_schematic.png,F011,Generated schematic from cache-only Panel C script.
C2,C,Finite trajectory-table observer equations,main_or_methods,source_ready,atlas_asset_generated,declan/backimage_trajectory_observer/observer.py,declan/figure4_active_sensing_atlas/figures/panel_C/C1_observer_schematic.png,F011,Equation-level schematic generated in C1; full methods derivation remains prose.
C3,C,Accuracy ordering across candidate sets,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_trajectory_table_observer_confirm_matched_static_n64_c8_k8_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_C/C2_accuracy_ordering.png,F011,Cache-only accuracy ordering generated locally.
C4,C,Matched-static distractor control,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_trajectory_table_observer_confirm_matched_static_n64_c8_k8_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_C/C3_matched_static_rescue.png,F011,Strongest C result generated as focused subpanel.
C5,C,Posterior concentration Neff,supplement_or_inset,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_trajectory_table_observer_confirm_matched_static_n64_c8_k8_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_C/C4_posterior_concentration.png,F011,Generated posterior concentration inset from observer summary.
